,notification,item_text,main_work_center,created_on,created_at,completion_by_date,completion_time,user_status,system_status,problem_group_text,problem_code_text,malfunction_end,malfunction_end_time,malfunction_start,malfunction_start_time,description,code_group_text,coding_code_text,day_max_temp,day_min_temp,day_wind,lag_1_max_temp,lag_1_min_temp,lag_1_wind,rolling_3d_max_avg_temp,rolling_3d_min_avg_temp,rolling_3d_wind,rolling_7d_max_avg_temp,rolling_7d_min_avg_temp,rolling_7d_wind,area_name,kunda_risk_penalty,kunda_risk_factor
0,221958,"00:23,02:50",PLANT_01,2025-09-30,17:45:00,2/20/2026,16:31:38,IN_PROGRESS,REL,Software,Motor Failure,50.38,20:51:54,1/26/2025,12:23:27,Population executive pattern last security raise partner.,Mechanical Issue,E01,36.4,26.7,13.4,39.9,25.3,18.1,35.23,24.87,17.77,32.53,25.01,17.6,Korangi,0.21,Extreme
1,771155,"01:38,02:54",PLANT_02,2023-11-16,2:19:10,4/7/2026,21:53:48,COMPLETED,CNF,Hydraulic,Motor Failure,57.45,19:43:09,4/1/2025,16:33:35,Woman PM look together lawyer these.,Hydraulic Issue,M02,31.2,19.0,17.9,31.3,20.0,20.2,31.47,19.47,16.3,32.66,19.76,15.61,Surjani,0.1585,High
2,231932,"05:01,21:30",PLANT_02,2024-03-13,2:56:39,2/7/2026,3:59:17,ON_HOLD,CNF,Software,Motor Failure,33.34,4:18:31,12/31/2024,14:00:19,Certain PM company whose yourself.,Mechanical Issue,S04,30.0,20.6,26.7,28.4,18.9,17.2,27.77,18.67,16.0,28.09,16.83,15.7,Surjani,0.1585,High
3,465838,"03:01,20:00",PLANT_01,2024-11-10,7:12:12,2/23/2026,18:27:01,NEW,CNF,Electrical,Sensor Fault,60.71,21:57:25,10/13/2025,23:30:59,Happy again south century.,Hydraulic Issue,H03,30.8,22.9,15.1,31.1,23.6,13.5,31.5,24.0,15.23,32.46,23.4,13.5,Korangi,0.21,Extreme
4,359178,"01:01,10:24",PLANT_02,2025-08-26,15:21:44,1/19/2026,15:51:58,COMPLETED,TECO,Mechanical,Leak,55.48,5:16:26,6/26/2025,22:33:39,Improve they surface would by phone decade.,Software Issue,M02,31.4,25.9,13.5,31.5,26.1,17.6,31.17,26.47,22.93,32.11,26.41,17.61,Surjani,0.1585,High
5,744167,"04:01,02:52",PLANT_02,2024-01-23,15:52:39,12/29/2025,17:43:33,ON_HOLD,TECO,Mechanical,Motor Failure,5.24,16:59:46,3/4/2025,17:25:14,Inside individual safe know home hair.,Hydraulic Issue,H03,26.9,14.5,12.7,24.8,15.2,11.7,25.47,15.37,11.53,26.09,15.94,13.97,Surjani,0.1585,High
6,210268,"15:01,00:06",PLANT_02,2025-05-17,2:04:26,3/26/2026,12:29:36,NEW,CLSD,Mechanical,Short Circuit,3.78,22:46:45,3/22/2025,19:08:35,Program card morning early Republican nothing.,Electrical Issue,M02,33.4,26.7,17.5,33.8,26.6,16.1,34.73,26.33,15.83,33.94,26.31,17.46,Surjani,0.1585,High
7,832180,"00:10,05:40",MAINT_01,2025-03-26,12:04:54,3/24/2026,2:14:12,ON_HOLD,CLSD,Software,Sensor Fault,44.89,20:46:57,12/13/2024,8:16:58,Guy leg television society hear fill hotel like.,Software Issue,E01,29.7,22.4,20.6,29.7,20.6,18.4,32.4,21.1,16.67,33.51,21.41,13.26,Clifton,-0.1087,Very Secure
8,154886,"00:20,06:13",PLANT_01,2024-04-02,9:27:00,3/29/2026,13:15:40,IN_PROGRESS,CNF,Mechanical,Sensor Fault,25.34,16:30:54,9/15/2025,6:33:13,Present feel strategy simple perhaps anything describe.,Electrical Issue,E01,30.1,22.6,22.5,32.4,20.2,17.9,31.8,20.57,20.73,31.86,21.91,21.04,Korangi,0.21,Extreme
9,237337,"00:25,01:48",PLANT_02,2025-01-18,14:45:43,12/27/2025,21:10:30,IN_PROGRESS,CLSD,Software,Leak,15.45,2:29:26,8/31/2025,23:10:01,Three process view it wall agency deal.,Hydraulic Issue,S04,25.2,13.9,17.9,24.8,12.6,17.3,24.43,12.23,13.1,24.76,12.17,13.76,Surjani,0.1585,High
10,621430,"00:20,01:45",MAINT_01,2025-03-19,22:56:11,3/16/2026,15:44:45,NEW,CNF,Mechanical,Leak,41.94,18:10:01,9/9/2025,3:23:43,Project event second nor choose I site.,Hydraulic Issue,M02,33.5,21.0,10.5,35.2,20.5,8.8,34.67,20.17,8.37,34.11,21.39,13.21,Clifton,-0.1087,Very Secure
11,187498,"00:10,03:18",PLANT_03,2025-10-27,21:17:06,2/13/2026,5:58:29,IN_PROGRESS,CNF,Hydraulic,Motor Failure,24.92,14:36:25,6/4/2025,18:01:19,Character first early school several.,Software Issue,S04,35.1,23.4,19.9,35.7,21.1,16.8,36.23,21.03,13.4,36.27,21.23,13.16,Nazimabad,0.0349,Medium
